Сценарий;n;ρ_true;E[Пирсон];D[Пирсон];E[Спирмен];D[Спирмен];E[Квадрантный];D[Квадрантный]
Normal ρ=0.0;20;0.0;0.0060;0.0531;0.0049;0.0520;0.0004;0.0515
Normal ρ=0.0;60;0.0;0.0019;0.0173;0.0008;0.0175;0.0009;0.0167
Normal ρ=0.0;100;0.0;-0.0008;0.0100;-0.0000;0.0101;-0.0023;0.0104
Normal ρ=0.5;20;0.5;0.4864;0.0310;0.4589;0.0349;0.3238;0.0478
Normal ρ=0.5;60;0.5;0.4937;0.0101;0.4710;0.0110;0.3297;0.0152
Normal ρ=0.5;100;0.5;0.4953;0.0059;0.4753;0.0066;0.3320;0.0091
Normal ρ=0.9;20;0.9;0.8966;0.0021;0.8674;0.0045;0.6968;0.0289
Normal ρ=0.9;60;0.9;0.8992;0.0006;0.8835;0.0011;0.7103;0.0088
Normal ρ=0.9;100;0.9;0.8994;0.0004;0.8868;0.0006;0.7122;0.0051
Mixture;20;;0.1703;0.2695;0.5209;0.0597;0.5246;0.0380
Mixture;60;;0.0601;0.1182;0.5336;0.0229;0.5508;0.0119
Mixture;100;;0.0177;0.0755;0.5390;0.0141;0.5644;0.0068
