Распределение;Объём выборки;Статистика;E(z);sqrt(D(z))
Нормальное;10;Среднее;0.0;0.3
Нормальное;10;Медиана;0.0;0.4
Нормальное;10;z_R;0.0;0.4
Нормальное;10;z_Q;0.0;0.3
Нормальное;10;Усечённое среднее;0.0;0.3
Нормальное;100;Среднее;0.0;0.1
Нормальное;100;Медиана;0.0;0.1
Нормальное;100;z_R;0.0;0.3
Нормальное;100;z_Q;0.0;0.1
Нормальное;100;Усечённое среднее;0.0;0.1
Нормальное;1000;Среднее;0.0;0.0
Нормальное;1000;Медиана;0.0;0.0
Нормальное;1000;z_R;0.0;0.3
Нормальное;1000;z_Q;0.0;0.0
Нормальное;1000;Усечённое среднее;0.0;0.0
Коши;10;Среднее;3.0;64.9
Коши;10;Медиана;0.0;0.6
Коши;10;z_R;14.8;324.4
Коши;10;z_Q;0.0;1.0
Коши;10;Усечённое среднее;0.1;1.3
Коши;100;Среднее;2.0;55.8
Коши;100;Медиана;0.0;0.2
Коши;100;z_R;97.1;2785.4
Коши;100;z_Q;0.0;0.2
Коши;100;Усечённое среднее;0.0;0.2
Коши;1000;Среднее;0.1;15.2
Коши;1000;Медиана;0.0;0.1
Коши;1000;z_R;22.2;7412.3
Коши;1000;z_Q;0.0;0.1
Коши;1000;Усечённое среднее;0.0;0.1
Лапласа;10;Среднее;0.0;0.3
Лапласа;10;Медиана;0.0;0.3
Лапласа;10;z_R;0.0;0.6
Лапласа;10;z_Q;0.0;0.3
Лапласа;10;Усечённое среднее;0.0;0.3
Лапласа;100;Среднее;0.0;0.1
Лапласа;100;Медиана;0.0;0.1
Лапласа;100;z_R;0.0;0.6
Лапласа;100;z_Q;0.0;0.1
Лапласа;100;Усечённое среднее;0.0;0.1
Лапласа;1000;Среднее;0.0;0.0
Лапласа;1000;Медиана;0.0;0.0
Лапласа;1000;z_R;0.0;0.7
Лапласа;1000;z_Q;0.0;0.0
Лапласа;1000;Усечённое среднее;0.0;0.0
Пуассона;10;Среднее;5.0;0.7
Пуассона;10;Медиана;4.8;0.9
Пуассона;10;z_R;5.3;1.0
Пуассона;10;z_Q;4.9;0.8
Пуассона;10;Усечённое среднее;4.9;0.7
Пуассона;100;Среднее;5.0;0.2
Пуассона;100;Медиана;4.9;0.3
Пуассона;100;z_R;6.0;0.7
Пуассона;100;z_Q;4.9;0.4
Пуассона;100;Усечённое среднее;4.9;0.2
Пуассона;1000;Среднее;5.0;0.1
Пуассона;1000;Медиана;5.0;0.0
Пуассона;1000;z_R;6.8;0.6
Пуассона;1000;z_Q;4.7;0.3
Пуассона;1000;Усечённое среднее;4.9;0.1
Равномерное;10;Среднее;0.0;0.3
Равномерное;10;Медиана;0.0;0.5
Равномерное;10;z_R;0.0;0.2
Равномерное;10;z_Q;0.0;0.4
Равномерное;10;Усечённое среднее;0.0;0.4
Равномерное;100;Среднее;0.0;0.1
Равномерное;100;Медиана;0.0;0.2
Равномерное;100;z_R;0.0;0.0
Равномерное;100;z_Q;0.0;0.1
Равномерное;100;Усечённое среднее;0.0;0.1
Равномерное;1000;Среднее;0.0;0.0
Равномерное;1000;Медиана;0.0;0.1
Равномерное;1000;z_R;0.0;0.0
Равномерное;1000;z_Q;0.0;0.0
Равномерное;1000;Усечённое среднее;0.0;0.0
